purpose,injuries,phase,year
Personal,2,Cruise,2000
Personal,1,Climb,2000
Personal,2,Approach,2000
Instructional,2,Approach,2000
Positioning,1,Approach,2000
Personal,1,Climb,2000
Unknown,1,Maneuvering,2000
Personal,2,Cruise,2000
Personal,1,Maneuvering,2000
Personal,1,Maneuvering,2000
Positioning,2,Approach,2000
Public Aircraft,2,Cruise,2000
Instructional,1,Maneuvering,2000
Ferry,1,Maneuvering,2000
Personal,1,Descent,2000
Personal,1,Maneuvering,2000
Executive/corporate,4,Approach,2000
Personal,1,Maneuvering,2000
Personal,2,Takeoff,2000
Personal,2,Takeoff,2000
Unknown,88,Cruise,2000
Personal,2,Maneuvering,2000
Unknown,6,Cruise,2000
Aerial Observation,4,Maneuvering,2000
Personal,1,Cruise,2000
Instructional,1,Maneuvering,2000
Instructional,3,Approach,2000
Personal,2,Approach,2000
Personal,2,Cruise,2000
Public Aircraft,2,Maneuvering,2000
Unknown,1,Approach,2000
Personal,1,Climb,2000
Business,4,Climb,2000
Personal,2,Cruise,2000
Instructional,1,Takeoff,2000
Unknown,1,Maneuvering,2000
,3,Takeoff,2000
Personal,1,Standing,2000
Instructional,1,Approach,2000
Personal,1,Cruise,2000
Business,3,Go-around,2000
Personal,1,Go-around,2000
Personal,1,Cruise,2000
Unknown,2,Maneuvering,2000
Personal,1,Approach,2000
Positioning,1,Cruise,2000
Personal,2,Approach,2000
Instructional,4,Takeoff,2000
Unknown,4,Maneuvering,2000
Personal,1,Takeoff,2000
Aerial Application,1,Maneuvering,2000
Personal,3,Cruise,2000
Personal,1,Takeoff,2000
Positioning,1,Cruise,2000
Personal,1,Approach,2000
Instructional,1,Approach,2000
Instructional,1,Maneuvering,2000
Personal,1,Descent,2000
Personal,1,Approach,2000
Public Aircraft,2,Maneuvering,2000
Business,2,Descent,2000
Personal,1,Approach,2000
Instructional,2,Takeoff,2000
Personal,4,Takeoff,2000
Personal,1,Landing,2000
Personal,1,Takeoff,2000
Unknown,1,Cruise,2000
Business,2,Cruise,2000
Instructional,3,Approach,2000
Personal,2,Maneuvering,2000
Personal,1,Takeoff,2000
Personal,2,Maneuvering,2000
Personal,1,Takeoff,2000
Personal,1,Maneuvering,2000
Business,1,Descent,2000
Personal,1,Maneuvering,2000
Personal,1,Approach,2000
Personal,1,Maneuvering,2000
Unknown,1,Maneuvering,2000
Public Aircraft,3,Takeoff,2000
Personal,5,Cruise,2000
Personal,1,Cruise,2000
Personal,2,Cruise,2000
Personal,2,Cruise,2000
Aerial Application,1,Maneuvering,2000
Personal,2,Maneuvering,2000
Positioning,3,Cruise,2000
Personal,1,Maneuvering,2000
Positioning,1,Approach,2000
Personal,2,Cruise,2000
Personal,4,Takeoff,2000
Personal,2,Go-around,2000
Personal,2,Maneuvering,2000
Personal,1,Maneuvering,2000
Personal,2,Cruise,2000
Other Work Use,2,Maneuvering,2000
Personal,1,Cruise,2000
Personal,3,Takeoff,2000
Other Work Use,3,Maneuvering,2000
Public Aircraft,1,Maneuvering,2000
Personal,2,Cruise,2000
Personal,2,Maneuvering,2000
Executive/corporate,6,Approach,2000
Personal,6,Takeoff,2000
Personal,1,Climb,2000
Personal,1,Cruise,2000
Personal,2,Maneuvering,2000
Other Work Use,2,Maneuvering,2000
Aerial Application,1,Maneuvering,2000
Instructional,1,Approach,2000
Aerial Application,1,Maneuvering,2000
Personal,1,Landing,2000
,19,Approach,2000
Personal,1,Descent,2000
Personal,1,Takeoff,2000
Personal,1,Unknown,2000
Personal,2,Cruise,2000
Personal,2,Takeoff,2000
Personal,1,Takeoff,2000
Personal,3,Maneuvering,2000
Personal,2,Approach,2000
Unknown,2,Maneuvering,2000
Instructional,2,Maneuvering,2000
Personal,3,Takeoff,2000
Unknown,2,Takeoff,2000
Business,3,Climb,2000
Instructional,2,Approach,2000
Aerial Application,1,Cruise,2000
Aerial Application,1,Maneuvering,2000
Public Aircraft,1,Maneuvering,2000
Personal,2,Cruise,2000
Instructional,2,Maneuvering,2000
Instructional,2,Descent,2000
Aerial Application,1,Cruise,2000
Public Aircraft,2,Maneuvering,2000
Personal,2,Takeoff,2000
Personal,1,Maneuvering,2000
Personal,2,Maneuvering,2000
Personal,1,Maneuvering,2000
Personal,1,Takeoff,2000
Instructional,1,Maneuvering,2000
Unknown,4,Cruise,2000
Personal,2,Maneuvering,2000
Positioning,1,Takeoff,2000
Personal,1,Approach,2000
Personal,1,Approach,2000
Personal,4,Maneuvering,2000
Aerial Application,1,Maneuvering,2000
Instructional,2,Takeoff,2000
Personal,2,Climb,2000
Personal,1,Cruise,2000
Personal,1,Maneuvering,2000
Instructional,1,Landing,2000
Aerial Application,1,Cruise,2000
Aerial Application,1,Maneuvering,2000
Positioning,1,Standing,2000
Personal,2,Approach,2000
Personal,1,Climb,2000
Personal,1,Maneuvering,2000
Unknown,1,Cruise,2000
Unknown,1,Maneuvering,2000
Aerial Application,1,Maneuvering,2000
Personal,1,Descent,2000
Instructional,1,Maneuvering,2000
Personal,2,Landing,2000
Personal,1,Maneuvering,2000
Personal,3,Cruise,2000
Personal,1,Cruise,2000
Personal,4,Maneuvering,2000
Personal,3,Climb,2000
Personal,1,Takeoff,2000
Personal,3,Maneuvering,2000
Personal,2,Maneuvering,2000
Personal,2,Maneuvering,2000
Aerial Application,1,Unknown,2000
