Purpose_of_flight,Total_Fatal_Injuries,Broad_phase_of_flight,year
Positioning,0,Cruise,2000
Personal,2,Cruise,2000
Personal,0,Cruise,2000
Instructional,0,Cruise,2000
Personal,0,Cruise,2000
Personal,0,Climb,2000
Personal,1,Climb,2000
Personal,0,Climb,2000
Personal,2,Approach,2000
Personal,0,Landing,2000
Instructional,0,Approach,2000
Personal,0,Landing,2000
Aerial Observation,0,Maneuvering,2000
Instructional,2,Approach,2000
Positioning,1,Approach,2000
Personal,1,Climb,2000
Personal,0,Cruise,2000
Personal,0,Takeoff,2000
Ferry,0,Approach,2000
Instructional,0,Maneuvering,2000
Personal,0,Landing,2000
Personal,0,Cruise,2000
Unknown,1,Maneuvering,2000
Personal,2,Cruise,2000
Personal,0,Landing,2000
Personal,0,Landing,2000
Instructional,0,Cruise,2000
Personal,1,Maneuvering,2000
Personal,1,Maneuvering,2000
Personal,0,Standing,2000
Positioning,0,Takeoff,2000
Personal,0,Takeoff,2000
Aerial Observation,0,Landing,2000
Positioning,2,Approach,2000
Personal,0,Takeoff,2000
Instructional,0,Climb,2000
Public Aircraft,0,Maneuvering,2000
Unknown,0,Cruise,2000
Public Aircraft,2,Cruise,2000
Business,0,Takeoff,2000
Personal,0,Cruise,2000
Aerial Observation,0,Maneuvering,2000
Instructional,1,Maneuvering,2000
Ferry,1,Maneuvering,2000
Personal,0,Taxi,2000
Personal,1,Descent,2000
Ferry,0,Approach,2000
Personal,0,Approach,2000
Personal,0,Approach,2000
Personal,1,Maneuvering,2000
Aerial Application,0,Maneuvering,2000
Personal,0,Takeoff,2000
Personal,0,Landing,2000
Executive/corporate,4,Approach,2000
Unknown,0,Takeoff,2000
Personal,0,Landing,2000
Personal,0,Cruise,2000
Public Aircraft,0,Maneuvering,2000
Business,0,Takeoff,2000
Personal,0,Takeoff,2000
Personal,0,Climb,2000
Personal,,Takeoff,2000
Personal,0,Cruise,2000
Personal,1,Maneuvering,2000
Unknown,0,Taxi,2000
Personal,0,Landing,2000
Personal,0,Cruise,2000
Instructional,0,Takeoff,2000
Personal,0,Landing,2000
Instructional,0,Takeoff,2000
Personal,2,Takeoff,2000
Instructional,0,Landing,2000
Personal,0,Taxi,2000
Personal,2,Takeoff,2000
Personal,0,Takeoff,2000
Aerial Application,0,Takeoff,2000
Unknown,0,Landing,2000
Personal,0,Taxi,2000
Personal,0,Landing,2000
Aerial Application,0,Maneuvering,2000
Positioning,0,Takeoff,2000
Instructional,0,Takeoff,2000
Business,0,Approach,2000
Other Work Use,0,Landing,2000
Unknown,0,Maneuvering,2000
Unknown,0,Taxi,2000
Unknown,0,Landing,2000
Unknown,0,Maneuvering,2000
Other Work Use,0,Standing,2000
Personal,0,Cruise,2000
Personal,0,Cruise,2000
Instructional,0,Landing,2000
Business,0,Approach,2000
Personal,0,Cruise,2000
Personal,0,Taxi,2000
Personal,0,Landing,2000
Unknown,88,Cruise,2000
Unknown,0,Standing,2000
Instructional,0,Landing,2000
Personal,0,Approach,2000
Personal,0,Cruise,2000
Aerial Application,0,Maneuvering,2000
Instructional,0,Landing,2000
Instructional,0,Landing,2000
Unknown,0,Cruise,2000
Personal,0,Maneuvering,2000
Personal,0,Go-around,2000
Personal,2,Maneuvering,2000
Personal,0,Takeoff,2000
Instructional,0,Landing,2000
Personal,0,Cruise,2000
Personal,0,Takeoff,2000
Personal,0,Takeoff,2000
Unknown,6,Cruise,2000
Instructional,0,Landing,2000
Personal,0,Landing,2000
Unknown,0,Takeoff,2000
Aerial Application,0,Maneuvering,2000
