injuries,year
2,2000
1,2000
2,2000
2,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
2,2000
2,2000
1,2000
1,2000
1,2000
1,2000
4,2000
1,2000
2,2000
2,2000
88,2000
2,2000
6,2000
4,2000
1,2000
1,2000
3,2000
2,2000
2,2000
2,2000
1,2000
1,2000
4,2000
2,2000
1,2000
1,2000
3,2000
1,2000
1,2000
1,2000
3,2000
1,2000
1,2000
2,2000
1,2000
1,2000
2,2000
4,2000
4,2000
1,2000
1,2000
3,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
2,2000
2,2000
1,2000
2,2000
4,2000
1,2000
1,2000
1,2000
2,2000
3,2000
2,2000
1,2000
2,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
3,2000
5,2000
1,2000
2,2000
2,2000
1,2000
2,2000
3,2000
1,2000
1,2000
2,2000
4,2000
2,2000
2,2000
1,2000
2,2000
2,2000
1,2000
3,2000
3,2000
1,2000
2,2000
2,2000
6,2000
6,2000
1,2000
1,2000
2,2000
2,2000
1,2000
1,2000
1,2000
1,2000
19,2000
1,2000
1,2000
1,2000
2,2000
2,2000
1,2000
3,2000
2,2000
2,2000
2,2000
3,2000
2,2000
3,2000
2,2000
1,2000
1,2000
1,2000
2,2000
2,2000
2,2000
1,2000
2,2000
2,2000
1,2000
2,2000
1,2000
1,2000
1,2000
4,2000
2,2000
1,2000
1,2000
1,2000
4,2000
1,2000
2,2000
2,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
2,2000
1,2000
3,2000
1,2000
4,2000
3,2000
1,2000
3,2000
2,2000
2,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
2,2000
1,2000
2,2000
1,2000
7,2000
1,2000
1,2000
3,2000
1,2000
1,2000
1,2000
1,2000
1,2000
4,2000
2,2000
1,2000
1,2000
1,2000
2,2000
2,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
3,2000
1,2000
1,2000
11,2000
1,2000
2,2000
1,2000
3,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
3,2000
3,2000
2,2000
2,2000
1,2000
1,2000
2,2000
2,2000
1,2000
4,2000
1,2000
2,2000
3,2000
3,2000
1,2000
1,2000
1,2000
1,2000
1,2000
1,2000
2,2000
2,2000
1,2000
2,2000
2,2000
1,2000
4,2000
1,2000
2,2000
4,2000
2,2000
3,2000
2,2000
1,2000
2,2000
1,2000
2,2000
2,2000
2,2000
1,2000
2,2000
1,2000
2,2000
1,2000
5,2000
2,2000
1,2000
2,2000
1,2000
2,2000
1,2000
1,2000
2,2000
1,2000
2,2000
1,2000
4,2000
1,2000
1,2000
1,2000
2,2000
1,2000
4,2000
2,2000
1,2000
2,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
2,2000
2,2000
1,2000
1,2000
3,2000
1,2000
2,2000
3,2000
1,2000
1,2000
2,2000
2,2000
2,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
2,2000
2,2000
1,2000
1,2000
1,2000
2,2000
1,2000
1,2000
2,2000
1,2000
2,2000
