year,isFatal,sum
1982,Non-Fatal,2775
1982,Fatal,627
1982,Incident,117
1983,Non-Fatal,2707
1983,Fatal,645
1983,Incident,129
1984,Fatal,603
1984,Non-Fatal,2645
1984,Incident,120
1985,Non-Fatal,2388
1985,Fatal,543
1985,Incident,91
1985,Unavailable,1
1986,Incident,79
1986,Fatal,497
1986,Non-Fatal,2221
1987,Fatal,476
1987,Non-Fatal,2147
1987,Incident,95
1988,Fatal,483
1988,Non-Fatal,2022
1988,Incident,112
1989,Non-Fatal,1911
1989,Fatal,466
1989,Incident,76
1990,Non-Fatal,1882
1990,Incident,60
1990,Fatal,485
1991,Fatal,464
1991,Non-Fatal,1838
1991,Incident,53
1991,Unavailable,7
1992,Non-Fatal,1731
1992,Fatal,477
1992,Incident,55
1992,Unavailable,4
1993,Fatal,419
1993,Non-Fatal,1728
1993,Incident,76
1994,Incident,50
1994,Non-Fatal,1680
1994,Fatal,427
1994,Unavailable,1
1995,Incident,58
1995,Fatal,422
1995,Non-Fatal,1704
1996,Fatal,374
1996,Non-Fatal,1639
1996,Incident,58
1997,Fatal,360
1997,Non-Fatal,1584
1997,Incident,62
1997,Unavailable,1
1998,Fatal,371
1998,Non-Fatal,1634
1998,Incident,36
1998,Unavailable,1
1999,Non-Fatal,1656
1999,Fatal,344
1999,Incident,40
2000,Non-Fatal,1588
2000,Fatal,362
2000,Incident,58
2001,Non-Fatal,1487
2001,Incident,42
2001,Fatal,346
2002,Non-Fatal,1458
2002,Fatal,358
2002,Incident,46
2003,Non-Fatal,1500
2003,Fatal,369
2003,Incident,55
2004,Fatal,342
2004,Non-Fatal,1379
2004,Incident,52
2005,Non-Fatal,1452
2005,Incident,44
2005,Fatal,329
2006,Fatal,316
2006,Non-Fatal,1280
2006,Incident,47
2007,Non-Fatal,1444
2007,Fatal,298
2007,Incident,64
2008,Non-Fatal,1426
2008,Fatal,283
2009,Non-Fatal,1331
2009,Fatal,269
2009,,4
2010,Non-Fatal,1281
2010,Fatal,265
2010,,13
2011,Fatal,278
2011,Non-Fatal,1327
2011,,7
2012,Non-Fatal,1300
2012,Fatal,270
2012,,5
2013,Non-Fatal,1088
2013,Fatal,220
2013,,5
2014,Non-Fatal,1058
2014,Fatal,253
2014,,4
2015,Fatal,235
2015,Non-Fatal,1077
2015,,1
2016,Non-Fatal,1121
2016,Fatal,210
2016,,11
2017,Non-Fatal,1118
2017,Fatal,205
2017,,8
2018,Non-Fatal,1119
2018,Fatal,224
2018,,6
2019,Non-Fatal,1049
2019,Fatal,240
2019,,14
2020,Non-Fatal,934
2020,Fatal,200
2020,,3
2021,Non-Fatal,972
2021,Fatal,200
2021,,9
